0.1176,1.2414,1.184,0.8153,-0.15856,1.2565,1.1935,0.81849,-0.14197,0.87948,0.67001,0.40102,0.05222,1.2045,1.1812,0.75824,-0.15111,1.215,1.1874,0.59871,-0.13666,1.0111,0.89962,0.76198,-0.085593,1.2115,1.2512,0.80771,-0.069968,1.2192,1.2505,0.59768,-0.054291,1.2333,1.2623,0.60326,-1
-0.17639,1.1977,0.88366,0.60364,-0.15856,0.99432,1.1935,0.76569,-0.14197,1.0107,0.91044,0.61176,-0.38887,0.63559,0.4013,0.44132,-0.37272,0.99667,0.94811,0.59871,-0.35955,1.0111,0.9594,0.60467,-0.38013,0.50988,0.28805,0.28115,-0.36643,0.86901,0.83141,0.49266,-0.65123,0.88272,1.1425,0.49829,-1
-0.24989,1.2851,1.0639,0.92114,0.062659,1.3002,1.3736,1.0825,0.080742,1.3169,1.3913,1.0859,-0.16832,1.2483,1.4812,0.96953,-0.15111,1.2586,1.8454,0.80884,-0.43385,1.2733,1.4974,0.81441,-0.45377,1.2115,1.492,1.1236,-0.44054,1.2192,1.1906,0.75521,-0.12891,1.2333,1.5018,0.7607,-1
-0.24989,1.2851,1.0639,0.70947,0.062659,1.1254,1.3736,0.92408,-0.2162,1.1419,1.3913,0.71712,-0.46238,1.2483,0.88126,0.59978,-0.15111,1.084,1.1874,0.96644,-0.13666,1.0985,1.1985,0.81441,-0.45377,0.99227,0.89001,0.75505,-0.14408,1.2192,1.4899,0.59768,-0.12891,1.2333,1.2024,0.7607,-1
-0.47039,0.84804,0.64336,0.39197,-0.74848,0.68846,0.65346,0.39612,-0.73585,0.52956,0.67001,0.40102,-0.90347,0.37301,0.88126,0.23004,-0.88979,0.38546,0.34994,0.020842,-0.87964,0.22457,0.36166,0.027868,-1.1901,0.24675,0.40844,0.22849,-1.1817,0.25624,0.41236,0.020058,-1.1736,-0.08147,0.18412,0.025959,-1
-0.39689,-0.1134,-1.0387,-0.77219,-0.67474,-0.2728,-1.0268,-0.92377,-0.66161,0.26712,0.18914,-0.1785,-0.38887,-0.19592,-0.73862,-0.82637,-0.66819,-0.00747,-0.4875,-0.45196,-0.65675,0.70525,0.54098,0.29005,-0.45377,0.15904,-0.61488,-0.614,-0.14408,0.34378,0.053167,-0.18999,0.16956,0.88272,0.6034,0.23589,-1
-0.1029,0.62953,0.70344,0.44489,-0.084821,0.81954,0.71347,0.44892,-0.36467,0.66078,0.42958,0.24297,-0.38887,0.5043,0.52129,0.28286,-0.37272,0.69107,0.82848,0.28351,-0.35955,0.53045,0.54098,0.13274,-1.3374,-1.1127,0.82981,1.1236,-0.737,0.1687,0.29263,0.020058,-0.42738,0.53211,0.064327,0.025959,-1
-0.1029,0.45472,0.70344,0.44489,-0.89596,-0.098028,0.17339,0.02655,-1.404,-0.25777,-0.53216,-0.1785,-0.09481,0.85441,0.82127,0.49414,-1.1853,0.3418,0.29012,0.28351,-1.3997,-0.16871,0.30188,0.13274,-0.15923,0.86071,0.82981,0.7024,-1.0335,0.34378,0.59195,0.2301,-1.0243,0.18149,0.064327,0.23589,-1
-0.91137,0.36732,0.10269,0.23322,-0.89596,0.20783,0.35342,0.02655,-0.66161,0.39834,0.36947,0.24297,-0.68293,0.46054,0.16131,0.23004,-0.66819,0.64741,0.70884,0.23098,-0.65675,0.48675,-0.056765,0.027868,-0.67467,0.33446,0.28805,0.12318,-0.95934,0.34378,0.29263,0.12508,-0.94971,0.3568,0.5435,0.13092,-1
-0.69088,-0.20081,-1.0387,-0.93095,-0.67474,0.3826,0.11338,0.02655,-0.14197,1.2294,0.91044,0.61176,-0.68293,0.24172,0.16131,-0.19253,-0.077243,0.99667,0.70884,0.44111,-0.06236,1.2296,0.9594,0.81441,-0.67467,0.68529,0.52883,0.28115,-0.069968,1.2629,1.1307,0.7027,0.16956,1.058,1.1425,0.70822,-1
