61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,-1
75,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,-1
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,-1
89,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,-1
90,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,-1
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1
15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,1
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,1
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
