2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,-1
8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
12,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,-1
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,-1
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,-1
60,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,-1
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,-1
81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,-1
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,-1
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,-1
13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1
15,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
45,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,1
52,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,1
71,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,1
76,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
84,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
