115,292,64,25503,2,1,2,1,1,3,2,1,0,1,2,4,2,3,2,2,55,46,3,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,4,105,2,-1
114,244,50,39039,2,1,2,1,1,3,2,1,0,1,3,3,9,1,2,1,52,40,10,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,4,108.06,2,1
114,250,50,38039,2,1,2,1,1,3,2,1,0,1,3,3,2,1,2,1,50,40,8,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5,0,2.5,0.8,40,4,103.87,2,1
117,327,58,35751,1,1,2,1,1,1,0,1,0,1,2,6,2,3,0,2,50,46,10,16.5,75,0.75,30,0,2600,62.5,37.5,6,0,2.5,0.6,30,4,106.67,2,1
117,396,58,35751,1,1,2,1,1,1,0,1,0,1,2,6,9,3,0,2,50,46,3,16.5,75,0.75,28,0,2600,62.5,37.5,6,0,2.5,1.1,30,4,106.67,2,1
118,198,52,47201,2,1,2,1,1,3,2,1,2,1,0,0,7,1,2,1,50,45,14,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,4,103.22,2,-1
120,150,17,37000,2,1,2,1,1,3,2,1,0,1,3,2,2,1,2,2,65,43,12,16,75,1,32,22.7,1750,45.5,31.8,0,0,3,1,38,4,106.66,2,1
120,154,17,37000,2,1,2,1,1,3,2,1,0,1,3,2,9,1,2,1,65,43,3,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,4,106.6,2,1
117,354,38,35539,2,1,2,1,1,3,2,1,0,1,2,4,2,3,2,2,50,50,14,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,4,105,2,-1
121,377,37,35539,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,50,50,10,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,4,106.66,2,-1
124,406,32,23052,2,1,2,1,1,3,2,1,0,1,2,4,7,3,2,2,40,45,10,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,4,100,2,-1
121,336,37,35539,2,1,2,1,1,3,2,1,0,1,2,4,2,3,2,2,50,43,8,16,75,1,20,15.8,1600,49.5,34.7,0,0,2.5,1,38,4,103.22,2,1
127,401,20,37571,1,1,2,1,1,1,0,1,1,0,2,5,2,3,0,2,50,45,6,16,70,0.8125,30,0,2400,58.8,41.2,0,0,1.7,1,30,4,107.4,2,1
127,411,20,35751,1,1,2,1,1,1,0,1,1,1,2,5,9,3,0,2,40,45,3,15,76,0.8125,30,0,2400,62.5,37.5,0,0,1,1,30,4,107.4,2,1
121,308,68,37340,1,1,2,1,1,1,0,1,0,1,2,5,2,3,0,2,30,43,3,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,4,96.875,2,1
125,215,62,35816,1,1,2,1,1,1,0,1,0,1,2,6,2,2,0,2,40,41,3,15.8,72,1,30,0,2000,62.5,37.5,0,0,2.5,1,30,4,107.4,2,-1
128,36,47,37352,1,1,2,1,1,1,0,1,0,1,2,6,9,3,3,2,40,42,3,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,4,107.4,2,-1
129,34,47,37352,1,1,2,1,1,1,0,1,0,1,2,6,9,3,3,2,45,42,3,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,4,107.4,2,-1
127,30,47,37352,1,1,2,1,1,3,0,1,0,1,2,6,9,3,3,2,50,45,10,15,76,1,30,8,2150,57.5,34.5,0,0,2.5,1,35,4,107.4,2,1
