28,31,868,1.107,0.492,0.745,7.49,427,647,57,-1
28,32,896,1.143,0.481,0.742,7.43,431,665,58,-1
29,31,899,1.069,0.463,0.726,6.93,416,653,60,-1
28,32,896,1.143,0.488,0.743,7.05,437,666,62,-1
28,32,896,1.143,0.462,0.722,7.02,414,647,59,-1
28,31,868,1.107,0.508,0.767,7.47,441,666,59,-1
29,32,928,1.103,0.476,0.72,7.25,442,668,61,-1
29,32,928,1.103,0.432,0.689,6.27,401,639,64,-1
153,158,24174,1.033,0.587,0.641,46.95,14180,15491,302,-1
83,149,12367,1.795,0.388,0.472,28.77,4804,5838,167,-1
95,93,8835,0.979,0.675,0.902,3.63,5966,7968,1644,-1
93,104,9672,1.118,0.451,0.611,4.25,4366,5908,1028,-1
168,145,24360,0.863,0.798,0.963,13.06,19430,23457,1488,-1
187,137,25619,0.733,0.899,0.991,29.29,23025,25400,786,-1
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,-1
178,140,24920,0.787,0.574,0.649,21.52,14292,16177,664,-1
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,-1
168,135,22680,0.804,0.82,0.904,62.81,18591,20513,296,-1
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,-1
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,-1
72,96,6912,1.333,0.488,0.582,15.69,3374,4025,215,-1
163,161,26243,0.988,0.523,0.897,8.4,13725,23547,1634,-1
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,-1
187,141,26367,0.754,0.415,0.884,4.69,10947,23301,2333,-1
64,73,4672,1.141,0.403,0.445,72.38,1882,2077,26,-1
63,66,4158,1.048,0.491,0.591,44.37,2041,2458,46,-1
65,50,3250,0.769,0.454,0.487,245.83,1475,1582,6,-1
63,79,4977,1.254,0.338,0.345,186.78,1681,1718,9,-1
98,3,294,0.031,0.48,0.486,141,141,143,1,1
19,2,38,0.105,0.816,0.816,31,31,31,1,1
5,2,10,0.4,0.8,0.8,8,8,8,1,1
94,2,188,0.021,0.516,0.516,97,97,97,1,1
4,2,8,0.5,0.875,0.875,7,7,7,1,1
66,3,198,0.045,0.657,0.909,2.6,130,180,50,1
93,4,372,0.043,0.419,0.565,2.89,156,210,54,1
44,3,132,0.068,0.598,0.841,2.47,79,111,32,1
42,7,294,0.167,0.282,0.432,2.18,83,127,38,1
17,2,34,0.118,0.706,0.706,24,24,24,1,1
76,1,76,0.013,1,1,76,76,76,1,1
69,3,207,0.043,0.643,0.952,2.08,133,197,64,1
12,2,24,0.167,0.625,0.667,15,15,16,1,1
261,30,7830,0.115,0.063,0.09,2.4,492,701,205,1
9,1,9,0.111,1,1,9,9,9,1,1
26,1,26,0.038,1,1,26,26,26,1,1
13,1,13,0.077,1,1,13,13,13,1,1
17,1,17,0.059,1,1,17,17,17,1,1
11,1,11,0.091,1,1,11,11,11,1,1
13,1,13,0.077,1,1,13,13,13,1,1
14,1,14,0.071,1,1,14,14,14,1,1
23,1,23,0.043,1,1,23,23,23,1,1
13,1,13,0.077,1,1,13,13,13,1,1
15,1,15,0.067,1,1,15,15,15,1,1
7,1,7,0.143,1,1,7,7,7,1,1
10,1,10,0.1,1,1,10,10,10,1,1
804,11,8844,0.014,0.191,0.233,15.64,1689,2058,108,1
8,1,8,0.125,0.875,1,7,7,8,1,1
27,4,108,0.148,0.333,0.667,2.57,36,72,14,1
27,4,108,0.148,0.38,0.75,2.56,41,81,16,1
8,1,8,0.125,1,1,8,8,8,1,1
9,1,9,0.111,1,1,9,9,9,1,1
9,2,18,0.222,0.611,0.722,11,11,13,1,1
54,1,54,0.019,1,1,54,54,54,1,1
39,1,39,0.026,1,1,39,39,39,1,1
38,1,38,0.026,1,1,38,38,38,1,1
1,25,25,25,1,1,25,25,25,1,1
58,3,174,0.052,0.339,0.345,59,59,60,1,1
53,1,53,0.019,1,1,53,53,53,1,1
54,1,54,0.019,1,1,54,54,54,1,1
42,1,42,0.024,1,1,42,42,42,1,1
34,1,34,0.029,1,1,34,34,34,1,1
31,1,31,0.032,1,1,31,31,31,1,1
22,1,22,0.045,1,1,22,22,22,1,1
7,1,7,0.143,1,1,7,7,7,1,1
14,1,14,0.071,1,1,14,14,14,1,1
11,1,11,0.091,1,1,11,11,11,1,1
9,1,9,0.111,1,1,9,9,9,1,1
20,1,20,0.05,1,1,20,20,20,1,1
25,1,25,0.04,1,1,25,25,25,1,1
10,1,10,0.1,1,1,10,10,10,1,1
18,1,18,0.056,1,1,18,18,18,1,1
8,1,8,0.125,1,1,8,8,8,1,1
27,1,27,0.037,1,1,27,27,27,1,1
31,1,31,0.032,1,1,31,31,31,1,1
8,1,8,0.125,1,1,8,8,8,1,1
12,1,12,0.083,1,1,12,12,12,1,1
12,1,12,0.083,1,1,12,12,12,1,1
9,1,9,0.111,1,1,9,9,9,1,1
9,1,9,0.111,1,1,9,9,9,1,1
13,1,13,0.077,1,1,13,13,13,1,1
47,1,47,0.021,1,1,47,47,47,1,1
16,1,16,0.063,1,1,16,16,16,1,1
5,2,10,0.4,0.9,0.9,9,9,9,1,1
14,2,28,0.143,0.536,0.536,15,15,15,1,1
11,2,22,0.182,0.636,0.636,14,14,14,1,1
4,2,8,0.5,1,1,8,8,8,1,1
9,1,9,0.111,1,1,9,9,9,1,1
6,21,126,3.5,0.198,0.444,1.67,25,56,15,1
84,1,84,0.012,1,1,84,84,84,1,1
117,1,117,0.009,1,1,117,117,117,1,1
136,1,136,0.007,0.993,1,135,135,136,1,1
37,1,37,0.027,1,1,37,37,37,1,1
32,1,32,0.031,1,1,32,32,32,1,1
430,5,2150,0.012,0.216,0.221,46.5,465,475,10,1
10,1,10,0.1,0.9,1,9,9,10,1,1
8,1,8,0.125,1,1,8,8,8,1,1
7,2,14,0.286,0.643,0.714,9,9,10,1,1
105,2,210,0.019,0.529,0.533,111,111,112,1,1
5,2,10,0.4,0.7,0.7,7,7,7,1,1
9,1,9,0.111,1,1,9,9,9,1,1
7,1,7,0.143,1,1,7,7,7,1,1
10,1,10,0.1,1,1,10,10,10,1,1
8,1,8,0.125,1,1,8,8,8,1,1
7,1,7,0.143,1,1,7,7,7,1,1
7,1,7,0.143,1,1,7,7,7,1,1
9,1,9,0.111,1,1,9,9,9,1,1
8,1,8,0.125,1,1,8,8,8,1,1
